Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,branch-ult5,choice made,reaction time,
1,1562774196529,10/07/2019 15:56:36,1562774196499,2,10/07/2019 17:56:36,8835,5,task-df75,,2795157,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Impulsivity,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Occasionally"",""Q1"":""Often"",""Q2"":""Occasionally"",""Q3"":""Often"",""Q4"":""Occasionally""}",12194.355000043288,
2,1562774209992,10/07/2019 15:56:49,1562774210007,2,10/07/2019 17:56:50,8835,5,task-df75,,2795157,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Impulsivity,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Occasionally"",""Q1"":""Often"",""Q2"":""Often"",""Q3"":""Occasionally"",""Q4"":""Often""}",13433.114999905229,
3,1562774220634,10/07/2019 15:57:00,1562774220691,2,10/07/2019 17:57:00,8835,5,task-df75,,2795157,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Impulsivity,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Occasionally"",""Q1"":""Almost always/Always"",""Q2"":""Often"",""Q3"":""Often""}",10643.530000001192,
4,1562774231518,10/07/2019 15:57:11,1562774231578,2,10/07/2019 17:57:11,8835,5,task-df75,,2795157,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Impulsivity,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Often"",""Q1"":""Often"",""Q2"":""Often"",""Q3"":""Occasionally""}",10849.644999951124,
5,1562774241813,10/07/2019 15:57:21,1562774241863,2,10/07/2019 17:57:21,8835,5,task-df75,,2795157,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Impulsivity,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Occasionally"",""Q1"":""Often"",""Q2"":""Often"",""Q3"":""Often""}",10248.804999981076,
6,1562774253440,10/07/2019 15:57:33,1562774253485,2,10/07/2019 17:57:33,8835,5,task-df75,,2795157,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Impulsivity,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Often"",""Q1"":""Often"",""Q2"":""Occasionally"",""Q3"":""Occasionally""}",11576.424999861047,
7,1562774268499,10/07/2019 15:57:48,1562774266805,2,10/07/2019 17:57:46,8835,5,task-df75,,2795157,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Impulsivity,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Often"",""Q1"":""Occasionally"",""Q2"":""Occasionally"",""Q3"":""Rarely/Never"",""Q4"":""Often""}",13277.234999928623,
1,1562775989491,10/07/2019 16:26:29,1562775989419,1,10/07/2019 17:26:29,8835,5,task-df75,,2795561,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,Impulsivity,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Occasionally"",""Q1"":""Occasionally"",""Q2"":""Occasionally"",""Q3"":""Occasionally"",""Q4"":""Rarely/Never""}",13124.915000022156,
2,1562776000525,10/07/2019 16:26:40,1562776000515,1,10/07/2019 17:26:40,8835,5,task-df75,,2795561,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,Impulsivity,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Occasionally"",""Q1"":""Often"",""Q2"":""Often"",""Q3"":""Often"",""Q4"":""Often""}",11073.815000010654,
3,1562776012047,10/07/2019 16:26:52,1562776012039,1,10/07/2019 17:26:52,8835,5,task-df75,,2795561,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,Impulsivity,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Occasionally"",""Q1"":""Almost always/Always"",""Q2"":""Often"",""Q3"":""Often""}",11512.445000000298,
4,1562776023609,10/07/2019 16:27:03,1562776023621,1,10/07/2019 17:27:03,8835,5,task-df75,,2795561,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,Impulsivity,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Rarely/Never"",""Q1"":""Occasionally"",""Q2"":""Occasionally"",""Q3"":""Rarely/Never""}",11571.779999998398,
5,1562776035164,10/07/2019 16:27:15,1562776035131,1,10/07/2019 17:27:15,8835,5,task-df75,,2795561,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,Impulsivity,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Occasionally"",""Q1"":""Occasionally"",""Q2"":""Often"",""Q3"":""Occasionally""}",11500.685000006342,
6,1562776049440,10/07/2019 16:27:29,1562776049446,1,10/07/2019 17:27:29,8835,5,task-df75,,2795561,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,Impulsivity,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Rarely/Never"",""Q1"":""Rarely/Never"",""Q2"":""Occasionally"",""Q3"":""Occasionally""}",14305.549999990035,
7,1562776070636,10/07/2019 16:27:50,1562776070628,1,10/07/2019 17:27:50,8835,5,task-df75,,2795561,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,Impulsivity,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Occasionally"",""Q1"":""Occasionally"",""Q2"":""Rarely/Never"",""Q3"":""Often"",""Q4"":""Often""}",21170.224999979837,
1,1562778598416,10/07/2019 17:09:58,1562778599078,1,10/07/2019 18:09:59,8835,5,task-df75,,2796422,54762f9efdf99b05557e04be,774153,,complete,,5d2616a3c4d71e00190d081c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Impulsivity,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Often"",""Q1"":""Occasionally"",""Q2"":""Often"",""Q3"":""Occasionally"",""Q4"":""Rarely/Never""}",12130.110000027344,
2,1562778608591,10/07/2019 17:10:08,1562778609223,1,10/07/2019 18:10:09,8835,5,task-df75,,2796422,54762f9efdf99b05557e04be,774153,,complete,,5d2616a3c4d71e00190d081c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Impulsivity,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Occasionally"",""Q1"":""Often"",""Q2"":""Almost always/Always"",""Q3"":""Often"",""Q4"":""Almost always/Always""}",10121.745000011288,
3,1562778616980,10/07/2019 17:10:16,1562778617686,1,10/07/2019 18:10:17,8835,5,task-df75,,2796422,54762f9efdf99b05557e04be,774153,,complete,,5d2616a3c4d71e00190d081c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Impulsivity,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Rarely/Never"",""Q1"":""Almost always/Always"",""Q2"":""Often"",""Q3"":""Almost always/Always""}",8445.030000060797,
4,1562778625369,10/07/2019 17:10:25,1562778626081,1,10/07/2019 18:10:26,8835,5,task-df75,,2796422,54762f9efdf99b05557e04be,774153,,complete,,5d2616a3c4d71e00190d081c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Impulsivity,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Occasionally"",""Q1"":""Often"",""Q2"":""Rarely/Never"",""Q3"":""Occasionally""}",8375.789999961853,
5,1562778636291,10/07/2019 17:10:36,1562778636723,1,10/07/2019 18:10:36,8835,5,task-df75,,2796422,54762f9efdf99b05557e04be,774153,,complete,,5d2616a3c4d71e00190d081c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Impulsivity,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Rarely/Never"",""Q1"":""Occasionally"",""Q2"":""Almost always/Always"",""Q3"":""Rarely/Never""}",10625.28499995824,
