Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,branch-ult5,choice made,reaction time,
1,1562774118884,10/07/2019 15:55:18,1562774118823,2,10/07/2019 17:55:18,8835,5,task-j95b,,2795139,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Fatigue,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Sometimes"",""Q1"":""Sometimes"",""Q2"":""Rarely"",""Q3"":""Rarely"",""Q4"":""Rarely""}",19333.769999910146,
2,1562774142314,10/07/2019 15:55:42,1562774142092,2,10/07/2019 17:55:42,8835,5,task-j95b,,2795139,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Fatigue,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Rarely"",""Q1"":""Sometimes"",""Q2"":""Rarely"",""Q3"":""Sometimes"",""Q4"":""Sometimes""}",23187.360000098124,
3,1562774155264,10/07/2019 15:55:55,1562774155245,2,10/07/2019 17:55:55,8835,5,task-j95b,,2795139,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Fatigue,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Sometimes"",""Q1"":""Rarely"",""Q2"":""Sometimes"",""Q3"":""Sometimes""}",13105.850000167266,
4,1562774169264,10/07/2019 15:56:09,1562774169297,2,10/07/2019 17:56:09,8835,5,task-j95b,,2795139,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Fatigue,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Sometimes"",""Q1"":""Rarely"",""Q2"":""Sometimes"",""Q3"":""Rarely""}",14014.509999891743,
5,1562774181474,10/07/2019 15:56:21,1562774181517,2,10/07/2019 17:56:21,8835,5,task-j95b,,2795139,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Fatigue,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Rarely"",""Q1"":""Sometimes"",""Q2"":""Rarely"",""Q3"":""Often""}",12178.440000163391,
1,1562775914264,10/07/2019 16:25:14,1562775914196,1,10/07/2019 17:25:14,8835,5,task-j95b,,2795538,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,Fatigue,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Rarely"",""Q1"":""Sometimes"",""Q2"":""Rarely"",""Q3"":""Rarely"",""Q4"":""Rarely""}",11919.455000024755,
2,1562775930666,10/07/2019 16:25:30,1562775930665,1,10/07/2019 17:25:30,8835,5,task-j95b,,2795538,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,Fatigue,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Rarely"",""Q1"":""Rarely"",""Q2"":""Sometimes"",""Q3"":""Sometimes"",""Q4"":""Sometimes""}",16447.669999994105,
3,1562775947032,10/07/2019 16:25:47,1562775946926,1,10/07/2019 17:25:46,8835,5,task-j95b,,2795538,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,Fatigue,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Rarely"",""Q1"":""Rarely"",""Q2"":""Rarely"",""Q3"":""Rarely""}",16247.015000000829,
4,1562775961634,10/07/2019 16:26:01,1562775961652,1,10/07/2019 17:26:01,8835,5,task-j95b,,2795538,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,Fatigue,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Rarely"",""Q1"":""Rarely"",""Q2"":""Sometimes"",""Q3"":""Rarely""}",14714.014999975916,
5,1562775974992,10/07/2019 16:26:14,1562775974993,1,10/07/2019 17:26:14,8835,5,task-j95b,,2795538,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,Fatigue,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Rarely"",""Q1"":""Sometimes"",""Q2"":""Rarely"",""Q3"":""Rarely""}",13329.320000018924,
